year,state_name,line_num,service_category,ssbg_expenditures,tanf_transfer_funds,total_ssbg_expenditures,other_fed_state_and_local_funds,total_expenditures,children,adults_59_and_younger,adults_60_and_older,adults_unknown,total_adults,total_recipients
2010,Alabama,1,Adoption Services,$0 ,$0 ,$0 ,$0 ,$0 ,0,0,0,0,0,0
2010,Alabama,2,Case Management,$0 ,$0 ,$0 ,$0 ,$0 ,0,0,0,0,0,0
2010,Alabama,3,Congregate Meals,$0 ,$0 ,$0 ,$0 ,$0 ,0,0,0,0,0,0
2010,Alabama,4,Counseling Services,$0 ,$0 ,$0 ,$0 ,$0 ,0,0,0,0,0,0
2010,Alabama,5,Day Care - Adults,"$2,167,207 ",$0 ,"$2,167,207 ",$0 ,"$2,167,207 ",0,0,0,376,376,376
2010,Alabama,6,Day Care - Children,"$500,000 ",$0 ,"$500,000 ","$107,504,335 ","$108,004,335 ","27,016",0,0,0,0,"27,016"
2010,Alabama,7,Education and Training Services,$0 ,$0 ,$0 ,$0 ,$0 ,0,0,0,0,0,0
2010,Alabama,8,Employment Services,$0 ,$0 ,$0 ,$0 ,$0 ,0,0,0,0,0,0
2010,Alabama,9,Family Planning Services,$0 ,$0 ,$0 ,$0 ,$0 ,0,0,0,0,0,0
2010,Alabama,10,Foster Care Services - Adults,"$82,988 ",$0 ,"$82,988 ",$0 ,"$82,988 ",0,0,0,50,50,50
2010,Alabama,11,Foster Care Services - Children,$0 ,$0 ,$0 ,$0 ,$0 ,0,0,0,0,0,0
2010,Alabama,12,Health-Related Services,$0 ,$0 ,$0 ,$0 ,$0 ,0,0,0,0,0,0
2010,Alabama,13,Home-Based Services,$0 ,$0 ,$0 ,$0 ,$0 ,0,0,0,0,0,0
2010,Alabama,14,Home-Delivered Meals,$0 ,$0 ,$0 ,$0 ,$0 ,0,0,0,0,0,0
2010,Alabama,15,Housing Services,$0 ,$0 ,$0 ,$0 ,$0 ,0,0,0,0,0,0
2010,Alabama,16,Independent/Transitional Living Services,$0 ,$0 ,$0 ,$0 ,$0 ,0,0,0,0,0,0
2010,Alabama,17,Information and Referral,$0 ,$0 ,$0 ,$0 ,$0 ,0,0,0,0,0,0
2010,Alabama,18,Legal Services,$0 ,$0 ,$0 ,$0 ,$0 ,0,0,0,0,0,0
2010,Alabama,19,Pregnancy and Parenting,$0 ,$0 ,$0 ,$0 ,$0 ,0,0,0,0,0,0
2010,Alabama,20,Prevention and Intervention,$0 ,$0 ,$0 ,$0 ,$0 ,0,0,0,0,0,0
2010,Alabama,21,Protective Services - Adults,"$5,195,290 ",$0 ,"$5,195,290 ","$7,023,836 ","$12,219,126 ",0,0,0,"5,312","5,312","5,312"
2010,Alabama,22,Protective Services - Children,$0 ,$0 ,$0 ,$0 ,$0 ,0,0,0,0,0,0
2010,Alabama,23,Recreation Services,$0 ,$0 ,$0 ,$0 ,$0 ,0,0,0,0,0,0
2010,Alabama,24,Residential Treatment,$0 ,$0 ,$0 ,$0 ,$0 ,0,0,0,0,0,0
2010,Alabama,25,Special Services - Disabled,$0 ,$0 ,$0 ,$0 ,$0 ,0,0,0,0,0,0
2010,Alabama,26,Special Services - Youth at Risk,$0 ,$0 ,$0 ,$0 ,$0 ,0,0,0,0,0,0
2010,Alabama,27,Substance Abuse Services,$0 ,$0 ,$0 ,$0 ,$0 ,0,0,0,0,0,0
2010,Alabama,28,Transportation,$0 ,$0 ,$0 ,$0 ,$0 ,0,0,0,0,0,0
2010,Alabama,29,Other Services,"$14,833,956 ","$9,431,257 ","$24,265,213 ","$306,733,148 ","$330,998,361 ","13,577",0,0,0,0,"13,577"
2010,Alabama,31,Administrative Costs,"$1,885,772 ",$0 ,"$1,885,772 ",$0 ,"$1,885,772 ",0,0,0,0,0,0
2010,Alaska,1,Adoption Services,"$3,819,426 ","$157,640 ","$3,977,066 ","$19,849,627 ","$23,826,693 ","2,880",0,0,0,0,"2,880"
2010,Alaska,2,Case Management,$0 ,"$17,516 ","$17,516 ","$1,187,872 ","$1,205,388 ","8,815",0,0,0,0,"8,815"
2010,Alaska,3,Congregate Meals,$0 ,$0 ,$0 ,$0 ,$0 ,0,0,0,0,0,0
2010,Alaska,4,Counseling Services,$0 ,$0 ,$0 ,$0 ,$0 ,0,0,0,0,0,0
2010,Alaska,5,Day Care - Adults,$0 ,$0 ,$0 ,$0 ,$0 ,0,0,0,0,0,0
2010,Alaska,6,Day Care - Children,$0 ,$0 ,$0 ,$0 ,$0 ,0,0,0,0,0,0
2010,Alaska,7,Education and Training Services,$0 ,"$295,111 ","$295,111 ","$4,795,584 ","$5,090,695 ",35,0,0,0,0,35
2010,Alaska,8,Employment Services,$0 ,$0 ,$0 ,$0 ,$0 ,0,0,0,0,0,0
2010,Alaska,9,Family Planning Services,$0 ,$0 ,$0 ,$0 ,$0 ,0,0,0,0,0,0
2010,Alaska,10,Foster Care Services - Adults,$0 ,$0 ,$0 ,$0 ,$0 ,0,0,0,0,0,0
